Gene ID	EC#	HMMER	eCAMI	DIAMOND	#ofTools
demux_S_111.scaffolds_10_169	-	GT2(8-182)	-	GT2	2
demux_S_111.scaffolds_10_170	-	GT2(43-263)	-	GT2	2
demux_S_111.scaffolds_10_181	-	GT2(9-163)	-	GT2	2
demux_S_111.scaffolds_10_184	-	GT101(57-280)	-	GT101	2
demux_S_111.scaffolds_10_185	-	GT4(208-353)	-	GT4	2
demux_S_111.scaffolds_10_186	-	GT2(42-149)	-	GT2	2
demux_S_111.scaffolds_10_188	-	GT2(54-272)	-	GT2	2
demux_S_111.scaffolds_10_226	-	GH73(12-144)	-	GH73	2
demux_S_111.scaffolds_11_157	-	GH97(13-666)	-	GH97	2
demux_S_111.scaffolds_11_164	-	CE9(5-378)	-	CE9	2
demux_S_111.scaffolds_11_165	-	CE9(5-378)	-	CE9	2
demux_S_111.scaffolds_11_66	-	GH13_38(33-400)	-	GH13_38	2
demux_S_111.scaffolds_11_68	2.4.1.18	GH13_8(220-511)	2.4.1.-	GH13_8	3
demux_S_111.scaffolds_11_84	-	GH2(27-596)	-	GH2	2
demux_S_111.scaffolds_11_98	-	GT51(56-244)	-	GT51	2
demux_S_111.scaffolds_12_13	-	GH32(121-406)	-	GH32	2
demux_S_111.scaffolds_12_16	-	GH31(202-631)	-	GH31	2
demux_S_111.scaffolds_12_17	-	GH31(234-684)	-	GH31	2
demux_S_111.scaffolds_12_18	-	GH66(46-591)	-	GH66	2
demux_S_111.scaffolds_12_23	-	GH2(39-498)	-	GH2	2
demux_S_111.scaffolds_12_25	-	GH43(45-343)	-	GH43	2
demux_S_111.scaffolds_12_27	-	GH51(240-680)	-	GH51	2
demux_S_111.scaffolds_12_38	-	GH43_31(36-304)	-	GH43_31	2
demux_S_111.scaffolds_12_58	-	GH92(237-730)	-	GH92	2
demux_S_111.scaffolds_12_59	-	GH36(26-700)	-	GH36	2
demux_S_111.scaffolds_12_63	-	GH95(25-773)	-	GH95	2
demux_S_111.scaffolds_12_69	3.2.1.22|3.2.1.N1|3.2.1.N2	GH110(21-559)	3.2.1.-	GH110+3.2.1.22	3
demux_S_111.scaffolds_12_72	-	GH97(15-670)	-	GH97	2
demux_S_111.scaffolds_12_80	-	GH31(459-683)	-	CBM32+GH31	2
demux_S_111.scaffolds_13_100	-	GH32(139-439)	-	GH32	2
demux_S_111.scaffolds_13_105	-	GH32(53-350)	-	GH32	2
demux_S_111.scaffolds_13_106	3.2.1.80	GH32(150-439)	3.2.1.-	GH32	3
demux_S_111.scaffolds_13_20	-	GH29(24-355)	-	GH29	2
demux_S_111.scaffolds_13_84	-	GH43_2(90-358)+GH43_2(423-689)	-	GH43_2	2
demux_S_111.scaffolds_13_85	3.2.1.21	GH3(206-426)	3.2.1.-	GH3	3
demux_S_111.scaffolds_13_87	-	GH3(64-305)	-	GH3	2
demux_S_111.scaffolds_13_88	-	GH95(321-984)	-	GH95	2
demux_S_111.scaffolds_13_89	-	GH2(227-1021)	-	GH2	2
demux_S_111.scaffolds_13_96	-	GH92(212-733)	-	GH92	2
demux_S_111.scaffolds_13_97	-	GH2(50-700)	-	GH2	2
demux_S_111.scaffolds_14_101	-	GH109(38-189)	-	-	1
demux_S_111.scaffolds_14_130	-	PL33_1(430-576)	-	PL33_1	2
demux_S_111.scaffolds_14_14	-	GH23(97-233)	-	GH23	2
demux_S_111.scaffolds_14_147	3.2.1.169|3.2.1.35	GH84(151-443)	3.2.1.-	GH84	3
demux_S_111.scaffolds_14_148	-	GH20(155-514)	-	GH20	2
demux_S_111.scaffolds_14_47	-	GH24(8-135)	-	-	1
demux_S_111.scaffolds_15_120	-	GT2(5-150)	-	GT2	2
demux_S_111.scaffolds_15_138	-	GH2(26-770)	-	GH2	2
demux_S_111.scaffolds_15_139	-	GH20(151-498)	-	GH20	2
demux_S_111.scaffolds_15_140	-	GH20(154-509)	-	GH20	2
demux_S_111.scaffolds_15_141	-	GH2(24-778)	-	GH2	2
demux_S_111.scaffolds_15_143	-	GH20(140-412)	-	GH20	2
demux_S_111.scaffolds_15_144	-	GH33(193-532)	-	GH33	2
demux_S_111.scaffolds_15_66	2.4.1.129	GT51(60-223)	2.4.1.-	GT51	3
demux_S_111.scaffolds_16_73	-	GH92(246-736)	-	GH92	2
demux_S_111.scaffolds_16_74	-	GH38(31-285)+CBM32(1078-1196)	-	GH38	2
demux_S_111.scaffolds_16_76	-	GT32(20-101)	-	GT32	2
demux_S_111.scaffolds_16_77	-	GT32(29-103)	-	GT32	2
demux_S_111.scaffolds_16_81	-	GH130(63-372)	-	GH130+3.2.1.197	2
demux_S_111.scaffolds_16_82	-	GH125(70-466)	-	GH125	2
demux_S_111.scaffolds_16_83	-	GH76(68-366)	-	GH76	2
demux_S_111.scaffolds_16_85	-	GH92(237-742)	-	GH92	2
demux_S_111.scaffolds_16_92	-	GH76(157-487)	-	GH76	2
demux_S_111.scaffolds_16_99	-	GH29(26-358)	-	GH29	2
demux_S_111.scaffolds_17_121	-	GT2(3-109)	-	GT2	2
demux_S_111.scaffolds_17_123	-	GT2(4-163)	-	GT2	2
demux_S_111.scaffolds_17_18	-	GH20(143-477)	-	GH20	2
demux_S_111.scaffolds_17_22	3.2.1.51	GH29(52-373)+CBM32(499-599)	3.2.1.-	GH29	3
demux_S_111.scaffolds_17_23	-	GH2(64-908)	-	GH2	2
demux_S_111.scaffolds_17_24	-	GH20(158-517)	-	GH20	2
demux_S_111.scaffolds_17_29	-	GH18(297-533)	-	GH18	2
demux_S_111.scaffolds_17_42	-	GT4(192-339)	-	GT4	2
demux_S_111.scaffolds_17_75	3.2.1.41|3.2.1.142	GH13_14(202-526)	3.2.1.-	GH13_14	3
