Gene ID	EC#	HMMER	eCAMI	DIAMOND	#ofTools
demux_S_49.scaffolds_10_28	-	AA1(70-456)	-	-	1
demux_S_49.scaffolds_10_45	-	CBM67(179-314)+GH78(349-866)	-	GH78	2
demux_S_49.scaffolds_11_34	-	GT4(195-346)	-	GT4	2
demux_S_49.scaffolds_11_36	-	GT2(6-135)	-	GT2	2
demux_S_49.scaffolds_11_39	-	GT4(186-337)	-	GT4	2
demux_S_49.scaffolds_11_40	-	GT2(6-160)	-	GT2	2
demux_S_49.scaffolds_11_41	-	GT4(194-350)	-	GT4	2
demux_S_49.scaffolds_12_62	1.1.2.4	AA4(9-284)	1.1.2.-	-	2
demux_S_49.scaffolds_13_1	-	GH3(34-252)	-	GH3	2
demux_S_49.scaffolds_13_10	-	GT83(7-225)	-	-	1
demux_S_49.scaffolds_13_9	-	GT2(10-170)	-	GT2	2
demux_S_49.scaffolds_15_36	-	GT4(334-488)	-	GT4	2
demux_S_49.scaffolds_15_37	-	GT4(320-470)	-	GT4	2
demux_S_49.scaffolds_16_39	3.2.1.86	GH1(2-474)	3.2.1.-	GH1	3
demux_S_49.scaffolds_16_5	-	GH170(1-345)	-	GH170	2
demux_S_49.scaffolds_17_37	-	GH1(2-455)	-	GH1	2
demux_S_49.scaffolds_17_39	-	GH38(15-265)	-	GH38	2
demux_S_49.scaffolds_18_20	3.2.1.85|3.2.1.21	GH1(9-470)	3.2.1.-	GH1	3
demux_S_49.scaffolds_18_32	-	CE9(19-378)	-	CE9	2
demux_S_49.scaffolds_18_33	3.2.1.23	GH35(10-327)	3.2.1.-	GH35	3
demux_S_49.scaffolds_18_38	-	GT4(318-474)	-	GT4	2
demux_S_49.scaffolds_18_39	-	GT4(331-488)	-	GT4	2
demux_S_49.scaffolds_1_121	-	GH36(12-703)	-	GH36	2
demux_S_49.scaffolds_1_124	-	GH170(3-361)	-	GH170	2
demux_S_49.scaffolds_1_151	-	GT4(183-327)	-	GT4	2
