Gene ID	EC#	HMMER	eCAMI	DIAMOND	#ofTools
demux_S_19.scaffolds_10_201	4.2.2.N1	GH102(150-257)	4.2.2.-	GH102	3
demux_S_19.scaffolds_10_44	-	GH13_27(230-588)	-	GH0	2
demux_S_19.scaffolds_10_82	-	GH103(98-390)	-	GH103	2
demux_S_19.scaffolds_10_97	3.2.1.86	GH1(3-470)	3.2.1.-	GH1	3
demux_S_19.scaffolds_11_103	3.2.1.177	GH31(239-668)	3.2.1.-	GH31	3
demux_S_19.scaffolds_11_128	2.4.99.12|2.4.99.13	GT30(33-211)	2.4.99.-	GT30	3
demux_S_19.scaffolds_11_129	-	GT9(78-305)	-	GT9	2
demux_S_19.scaffolds_11_130	-	GT4(189-345)	-	GT4	2
demux_S_19.scaffolds_11_132	-	GT8(24-276)	-	GT8	2
demux_S_19.scaffolds_11_133	2.4.1.58	GT8(13-272)	2.4.1.-	GT8	3
demux_S_19.scaffolds_11_135	-	GT8(16-275)	-	GT8	2
demux_S_19.scaffolds_11_136	-	GT2(9-168)	-	GT2	2
demux_S_19.scaffolds_11_138	-	GT9(76-300)	-	GT9	2
demux_S_19.scaffolds_11_139	-	GT9(69-306)	-	GT9	2
demux_S_19.scaffolds_11_143	-	GT2(9-136)	-	GT2	2
demux_S_19.scaffolds_11_39	3.2.1.86	GH1(2-459)	3.2.1.-	GH1	3
demux_S_19.scaffolds_11_41	-	CE1(150-384)	-	-	1
demux_S_19.scaffolds_11_77	3.2.1.122	GH4(6-182)	3.2.1.-	GH4	3
demux_S_19.scaffolds_12_104	-	CE1(172-386)	-	-	1
demux_S_19.scaffolds_12_127	-	GT2(165-381)	-	GT0	2
demux_S_19.scaffolds_12_21	3.5.1.25	CE9(5-376)	3.5.1.-	CE9	3
demux_S_19.scaffolds_13_23	3.2.1.86	GH1(3-476)	3.2.1.-	GH1	3
demux_S_19.scaffolds_14_4	-	GH23(48-170)	-	GH23	2
demux_S_19.scaffolds_15_25	-	GH31(229-666)	-	GH31	2
demux_S_19.scaffolds_16_29	2.4.1.325	GT56(1-352)	2.4.1.-	GT56	3
demux_S_19.scaffolds_16_31	2.4.1.180	GT26(62-231)	2.4.1.-	GT26	3
demux_S_19.scaffolds_17_30	-	GH38(7-265)	-	GH38	2
demux_S_19.scaffolds_1_120	-	GH24(30-161)	-	GH24	2
demux_S_19.scaffolds_1_23	-	CE8(90-420)	-	CE8	2
demux_S_19.scaffolds_1_292	1.6.5.2|1.6.5.6	AA6(3-194)	1.6.5.-	-	2
demux_S_19.scaffolds_1_310	-	GT2(78-245)	-	GT2	2
demux_S_19.scaffolds_1_311	-	CE4(103-271)+GH153(313-664)	-	CE4+GH153	2
demux_S_19.scaffolds_1_334	-	GT2(236-418)	-	GT2	2
demux_S_19.scaffolds_1_365	-	GH73(160-295)	-	GH73	2
demux_S_19.scaffolds_1_390	3.2.1.52	GH3(56-278)	3.2.1.-	GH3	3
demux_S_19.scaffolds_1_451	4.2.2.N2	GH23(52-197)	4.2.2.-	GH23	3
demux_S_19.scaffolds_1_455	3.2.1.28	GH37(56-531)	3.2.1.-	GH37	3
demux_S_19.scaffolds_1_567	-	GH13_18(81-423)	-	GH13_18	2
demux_S_19.scaffolds_1_573	-	GH109(9-157)	-	-	1
demux_S_19.scaffolds_1_574	2.4.1.230|2.4.1.279	GH65(299-674)	2.4.1.-	GH65	3
demux_S_19.scaffolds_2_125	2.4.2.43	GT83(3-521)	2.4.2.-	GT83	3
demux_S_19.scaffolds_2_128	2.4.2.53	GT2(11-171)	2.4.2.-	GT2	3
demux_S_19.scaffolds_2_224	3.1.2.12|3.1.1.56	CE1(21-273)	3.1.2.-	-	2
demux_S_19.scaffolds_2_245	3.2.1.21	GH3(88-309)	3.2.1.-	GH3	3
demux_S_19.scaffolds_2_277	-	GH25(2-138)	-	GH25	2
demux_S_19.scaffolds_2_313	-	GH24(29-160)	-	GH24	2
demux_S_19.scaffolds_2_34	3.2.1.26	GH32(29-330)	3.2.1.-	GH32	3
demux_S_19.scaffolds_2_358	-	GT2(8-154)	-	GT2	2
demux_S_19.scaffolds_2_373	-	GT4(225-369)	-	GT4	2
demux_S_19.scaffolds_2_377	-	GT2(9-181)	-	GT2	2
demux_S_19.scaffolds_2_379	-	GT4(177-298)	-	GT4	2
demux_S_19.scaffolds_2_380	-	GT2(5-136)	-	GT2	2
demux_S_19.scaffolds_2_393	-	GT4(226-373)+GT4(628-755)	-	GT4	2
demux_S_19.scaffolds_2_394	-	GT4(210-356)	-	GT4	2
demux_S_19.scaffolds_2_395	-	GT4(190-339)	-	GT4	2
demux_S_19.scaffolds_2_426	-	GT9(168-317)	-	GT0	2
demux_S_19.scaffolds_2_460	3.2.1.17	GH24(27-167)	3.2.1.-	GH24	3
demux_S_19.scaffolds_3_103	3.2.1.86	GH1(5-474)	3.2.1.-	GH1	3
demux_S_19.scaffolds_3_167	4.2.2.N1	GH23(207-353)	4.2.2.-	GH23	3
demux_S_19.scaffolds_3_190	-	AA7(53-241)	-	-	1
demux_S_19.scaffolds_3_231	-	AA1(65-285)	-	-	1
demux_S_19.scaffolds_3_295	3.2.1.23	GH2(26-886)	3.2.1.-	GH2	3
demux_S_19.scaffolds_3_299	-	GH63(1-780)	-	GH63	2
demux_S_19.scaffolds_3_354	-	CE9(7-371)	-	CE9	2
demux_S_19.scaffolds_3_425	2.4.1.129	GT51(60-228)	2.4.1.-	GT51	3
demux_S_19.scaffolds_3_66	-	GH15(92-425)	-	-	1
demux_S_19.scaffolds_4_199	3.2.1.86	GH4(6-185)	3.2.1.-	GH4	3
demux_S_19.scaffolds_4_23	3.2.1.17	GH24(27-167)	3.2.1.-	GH24	3
demux_S_19.scaffolds_4_324	-	CE1(21-275)	-	-	1
demux_S_19.scaffolds_4_326	3.2.1.133|3.2.1.135|3.2.1.54	CBM34(8-148)+GH13_20(195-496)	3.2.1.-	CBM34+GH13_20	3
demux_S_19.scaffolds_4_332	-	CBM69(38-161)	-	CBM69	2
demux_S_19.scaffolds_4_335	-	GH127(65-533)	-	-	1
demux_S_19.scaffolds_4_336	-	GH38(250-503)	-	GH38	2
demux_S_19.scaffolds_4_376	2.4.1.15|2.4.1.347|3.1.3.12	GT20(2-453)	2.4.1.-	GT20	3
demux_S_19.scaffolds_4_403	3.2.1.1|3.2.1.98	GH13_5(31-373)	3.2.1.-	GH13_5	3
demux_S_19.scaffolds_4_82	3.2.1.31	GH2(7-588)	3.2.1.-	GH2	3
demux_S_19.scaffolds_4_89	-	GH109(3-152)	-	-	1
demux_S_19.scaffolds_5_139	3.2.1.10|3.2.1.70|3.2.1.1|3.2.1.93|3.2.1.20	GH13_29(29-371)	3.2.1.-	GH13_29	3
demux_S_19.scaffolds_5_258	3.2.1.22	GH4(6-186)	3.2.1.-	GH4	3
demux_S_19.scaffolds_6_111	3.2.1.23	GH2(40-916)	3.2.1.-	GH2	3
demux_S_19.scaffolds_6_122	3.1.2.12|3.1.1.56	CE1(21-271)	3.1.2.-	-	2
demux_S_19.scaffolds_6_126	-	GT2(34-198)	-	GT2	2
demux_S_19.scaffolds_6_128	-	CE14(20-112)	-	-	1
demux_S_19.scaffolds_6_162	-	CBM34(6-112)+GH13_21(178-492)	-	CBM34+GH13_21	2
demux_S_19.scaffolds_6_318	3.2.1.17	GH24(34-156)	3.2.1.-	GH24	3
demux_S_19.scaffolds_6_5	-	GH23(55-198)	-	CBM50+GH23	2
demux_S_19.scaffolds_6_81	1.1.99.1|1.2.1.8|1.1.99.18|1.1.99.32	AA3_2(2-532)	1.2.1.-+1.1.99.-	AA3_2	3
demux_S_19.scaffolds_7_118	2.4.1.129|3.4.16.4	GT51(54-229)	2.4.1.-+3.4.16.-	GT51	3
demux_S_19.scaffolds_7_138	-	GH77(148-685)	-	GH77	2
demux_S_19.scaffolds_7_139	2.4.1.1	GT35(92-795)	2.4.1.-	GT35	3
demux_S_19.scaffolds_7_152	2.4.1.1	GT35(101-810)	2.4.1.-	GT35	3
demux_S_19.scaffolds_7_153	2.4.1.21|2.4.1.11	GT5(2-474)	2.4.1.-	GT5	3
demux_S_19.scaffolds_7_155	3.2.1.196|3.2.1.68|3.2.1.41	CBM48(10-100)+GH13_11(173-521)	3.2.1.-	CBM48+GH13_11	3
demux_S_19.scaffolds_7_156	2.4.1.18	CBM48(124-211)+GH13_9(274-574)	2.4.1.-	CBM48+GH13_9	3
demux_S_19.scaffolds_7_238	3.2.1.28	GH37(71-545)	3.2.1.-	GH37	3
demux_S_19.scaffolds_7_250	3.2.1.4	GH8(25-343)	3.2.1.-	GH8	3
demux_S_19.scaffolds_7_252	2.4.1.12	GT2(96-266)	2.4.1.-	GT2	3
demux_S_19.scaffolds_7_296	-	GH73(144-267)	-	GH73	2
demux_S_19.scaffolds_7_297	-	GH13_19(226-595)	-	GH13_19	2
demux_S_19.scaffolds_8_103	3.5.1.108	CE11(4-276)	3.5.1.-	CE11	3
demux_S_19.scaffolds_8_109	2.4.1.227	GT28(185-341)	2.4.1.-	GT28	3
demux_S_19.scaffolds_8_20	2.4.1.182|2.4.1.198	GT19(9-366)	2.4.1.-	GT19	3
demux_S_19.scaffolds_8_208	4.2.2.N1	GH23(497-622)	4.2.2.-	GH23	3
demux_S_19.scaffolds_8_52	2.4.1.129|3.4.16.4	GT51(208-379)	2.4.1.-+3.4.16.-	GT51	3
demux_S_19.scaffolds_8_71	-	CE4(227-371)	-	-	1
demux_S_19.scaffolds_8_78	-	AA1(66-510)	-	-	1
demux_S_19.scaffolds_9_130	-	GT51(63-226)	-	GT51	2
demux_S_19.scaffolds_9_169	4.2.2.N1	GH23(299-448)	4.2.2.-	GH23	3
demux_S_19.scaffolds_1_1	2.5.1.72	-	2.5.1.-	-	1
demux_S_19.scaffolds_1_5	2.5.1.54	-	2.5.1.-	-	1
demux_S_19.scaffolds_1_6	5.4.2.11|5.4.2.4	-	5.4.2.-	-	1
demux_S_19.scaffolds_1_8	2.7.1.6|2.7.1.44	-	2.7.1.-	-	1
demux_S_19.scaffolds_1_9	2.7.7.12	-	2.7.7.-	GH3	2
demux_S_19.scaffolds_1_10	5.1.3.2|5.1.3.7|5.1.3.3|5.1.3.5|5.1.3.25	-	5.1.3.-	-	1
demux_S_19.scaffolds_1_11	7.6.2.8	-	7.6.2.-	-	1
demux_S_19.scaffolds_1_16	7.3.2.5|7.3.2.2	-	7.3.2.-	-	1
demux_S_19.scaffolds_1_18	3.1.1.31	-	3.1.1.-	-	1
demux_S_19.scaffolds_1_25	2.8.1.6|2.6.1.62	-	2.6.1.-+2.8.1.-	GT2	2
demux_S_19.scaffolds_1_26	2.8.1.6	-	2.8.1.-	AA5_1	2
demux_S_19.scaffolds_1_27	2.3.1.47	-	2.3.1.-	-	1
demux_S_19.scaffolds_1_28	2.1.1.197	-	2.1.1.-	-	1
demux_S_19.scaffolds_1_29	6.3.3.3	-	6.3.3.-	-	1
demux_S_19.scaffolds_1_32	4.1.99.22	-	4.1.99.-	-	1
demux_S_19.scaffolds_1_34	4.6.1.17|2.7.7.77	-	4.6.1.-	-	1
demux_S_19.scaffolds_1_36	2.8.1.12	-	2.8.1.-	-	1
demux_S_19.scaffolds_1_48	3.6.4.13	-	3.6.4.-	-	1
demux_S_19.scaffolds_1_50	3.6.4.12	-	3.6.4.-	-	1
demux_S_19.scaffolds_1_52	1.1.1.237	-	1.1.1.-	-	1
demux_S_19.scaffolds_1_58	2.1.1.181	-	2.1.1.-	-	1
demux_S_19.scaffolds_1_60	7.3.2.2|7.3.2.5|7.3.2.1	-	7.3.2.-	-	1
demux_S_19.scaffolds_1_73	3.1.3.23|3.1.3.104	-	3.1.3.-	-	1
demux_S_19.scaffolds_1_75	1.97.1.4	-	1.97.1.-	-	1
demux_S_19.scaffolds_1_77	2.7.7.80	-	2.7.7.-	-	1
demux_S_19.scaffolds_1_78	2.10.1.1	-	2.10.1.-	-	1
demux_S_19.scaffolds_1_79	3.4.19.5|3.5.1.1	-	3.4.19.-	-	1
demux_S_19.scaffolds_1_85	2.7.7.65	-	2.7.7.-	-	1
demux_S_19.scaffolds_1_86	2.8.4.4	-	2.8.4.-	-	1
demux_S_19.scaffolds_1_90	3.4.16.4|3.5.2.6	-	3.4.16.-	-	1
demux_S_19.scaffolds_1_95	3.1.3.23|3.1.3.104	-	3.1.3.-	-	1
demux_S_19.scaffolds_1_107	2.1.1.72	-	2.1.1.-	-	1
demux_S_19.scaffolds_1_146	7.6.2.10	-	7.6.2.-	-	1
demux_S_19.scaffolds_1_150	2.1.1.189|2.1.1.37	-	2.1.1.-	-	1
demux_S_19.scaffolds_1_155	7.3.2.2|7.3.2.5|7.3.2.1	-	7.3.2.-	-	1
demux_S_19.scaffolds_1_161	4.1.2.48	-	4.1.2.-	-	1
demux_S_19.scaffolds_1_164	1.7.99.1	-	1.7.99.-	-	1
demux_S_19.scaffolds_1_170	7.3.2.2	-	7.3.2.-	-	1
demux_S_19.scaffolds_1_173	3.6.1.3	-	3.6.1.-	GT4	2
demux_S_19.scaffolds_1_175	2.3.2.6	-	2.3.2.-	-	1
demux_S_19.scaffolds_1_178	1.8.1.9|1.8.1.19|1.18.1.2	-	1.8.1.-	-	1
demux_S_19.scaffolds_1_182	3.6.1.3	-	3.6.1.-	-	1
demux_S_19.scaffolds_1_183	6.1.1.11	-	6.1.1.-	-	1
demux_S_19.scaffolds_1_184	1.8.5.3	-	1.8.5.-	-	1
demux_S_19.scaffolds_1_192	1.97.1.4	-	1.97.1.-	-	1
demux_S_19.scaffolds_1_193	2.3.1.54	-	2.3.1.-	-	1
demux_S_19.scaffolds_1_197	2.6.1.52	-	2.6.1.-	-	1
demux_S_19.scaffolds_1_198	2.5.1.19	-	2.5.1.-	-	1
demux_S_19.scaffolds_1_200	2.7.4.25	-	2.7.4.-	-	1
demux_S_19.scaffolds_1_204	7.5.2.6|7.5.2.3|7.5.2.5	-	7.5.2.-	-	1
demux_S_19.scaffolds_1_205	2.7.1.130	-	2.7.1.-	-	1
demux_S_19.scaffolds_1_208	2.7.7.38|2.7.7.77	-	2.7.7.-	-	1
demux_S_19.scaffolds_1_218	2.6.1.1|2.6.1.57	-	2.6.1.-	-	1
demux_S_19.scaffolds_1_220	6.1.1.22	-	6.1.1.-	-	1
demux_S_19.scaffolds_1_221	6.3.4.21	-	6.3.4.-	-	1
demux_S_19.scaffolds_1_222	3.4.11.2|3.4.11.14	-	3.4.11.-	-	1
demux_S_19.scaffolds_1_223	7.6.2.7	-	7.6.2.-	-	1
demux_S_19.scaffolds_1_225	1.14.14.5	-	1.14.14.-	-	1
demux_S_19.scaffolds_1_227	1.5.1.38	-	1.5.1.-	-	1
demux_S_19.scaffolds_1_235	1.3.5.2	-	1.3.5.-	-	1
demux_S_19.scaffolds_1_238	2.1.1.173|2.1.1.264|2.1.1.256	-	2.1.1.-	-	1
demux_S_19.scaffolds_1_239	3.6.3.17	-	3.6.3.-	-	1
demux_S_19.scaffolds_1_244	4.2.1.59|5.3.3.14	-	5.3.3.-+4.2.1.-	-	1
demux_S_19.scaffolds_1_253	4.2.3.3	-	4.2.3.-	-	1
demux_S_19.scaffolds_1_257	2.1.1.191|2.1.1.33	-	2.1.1.-	-	1
demux_S_19.scaffolds_1_258	3.6.1.7	-	3.6.1.-	-	1
demux_S_19.scaffolds_1_261	1.12.99.6	-	1.12.99.-	-	1
demux_S_19.scaffolds_1_262	1.12.99.6	-	1.12.99.-	-	1
demux_S_19.scaffolds_1_267	7.1.1.3|7.1.1.7	-	7.1.1.-	-	1
demux_S_19.scaffolds_1_268	7.1.1.3|7.1.1.7	-	7.1.1.-	-	1
demux_S_19.scaffolds_1_272	3.1.3.48	-	3.1.3.-	-	1
demux_S_19.scaffolds_1_281	2.7.13.3	-	2.7.13.-	-	1
demux_S_19.scaffolds_1_285	1.7.2.3|1.8.5.3	-	1.7.2.-+1.8.5.-	-	1
demux_S_19.scaffolds_1_290	3.1.3.10	-	3.1.3.-	-	1
demux_S_19.scaffolds_1_295	1.5.1.42|1.5.1.30	-	1.5.1.-	-	1
demux_S_19.scaffolds_1_296	1.1.1.298	-	1.1.1.-	-	1
demux_S_19.scaffolds_1_299	3.5.1.110	-	3.5.1.-	-	1
demux_S_19.scaffolds_1_300	1.14.99.46	-	1.14.99.-	-	1
demux_S_19.scaffolds_1_302	1.2.1.88|1.5.5.2	-	1.2.1.-+1.5.5.-	-	1
demux_S_19.scaffolds_1_318	1.1.1.79|1.1.1.81	-	1.1.1.-	-	1
demux_S_19.scaffolds_1_338	2.3.1.241|2.3.1.242	-	2.3.1.-	-	1
demux_S_19.scaffolds_1_346	3.5.2.3	-	3.5.2.-	-	1
demux_S_19.scaffolds_1_368	3.1.26.12	-	3.1.26.-	-	1
demux_S_19.scaffolds_1_369	5.4.99.24|5.4.99.43	-	5.4.99.-	-	1
demux_S_19.scaffolds_1_373	2.3.1.274	-	2.3.1.-	-	1
demux_S_19.scaffolds_1_374	2.3.1.180|2.3.1.194	-	2.3.1.-	-	1
demux_S_19.scaffolds_1_375	2.3.1.39	-	2.3.1.-	-	1
demux_S_19.scaffolds_1_376	1.1.1.100|1.1.1.252|1.1.1.377|1.1.1.311|1.1.1.223|1.1.1.243|1.1.1.401	-	1.1.1.-	-	1
demux_S_19.scaffolds_1_378	2.3.1.179|2.3.1.41	-	2.3.1.-	-	1
demux_S_19.scaffolds_1_381	2.7.4.9	-	2.7.4.-	-	1
demux_S_19.scaffolds_1_382	2.7.7.7	-	2.7.7.-	-	1
demux_S_19.scaffolds_1_384	2.7.1.199|2.7.1.193	-	2.7.1.-	-	1
demux_S_19.scaffolds_1_389	2.7.1.89	-	2.7.1.-	-	1
demux_S_19.scaffolds_1_392	1.6.99.3	-	1.6.99.-	-	1
demux_S_19.scaffolds_1_397	3.6.4.12	-	3.6.4.-	-	1
demux_S_19.scaffolds_1_402	2.7.1.59	-	2.7.1.-	-	1
demux_S_19.scaffolds_1_409	7.6.2.11|7.6.2.9	-	7.6.2.-	-	1
demux_S_19.scaffolds_1_410	3.4.11.4	-	3.4.11.-	-	1
demux_S_19.scaffolds_1_412	2.7.13.3	-	2.7.13.-	-	1
demux_S_19.scaffolds_1_414	4.3.2.2	-	4.3.2.-	-	1
demux_S_19.scaffolds_1_416	2.8.1.13|2.8.1.14|2.7.1.26|2.7.7.2	-	2.8.1.-	-	1
demux_S_19.scaffolds_1_418	5.4.99.20|5.4.99.22	-	5.4.99.-	-	1
demux_S_19.scaffolds_1_419	1.1.1.42	-	1.1.1.-	-	1
demux_S_19.scaffolds_1_447	5.1.1.1	-	5.1.1.-	-	1
demux_S_19.scaffolds_1_450	3.4.17.13	-	3.4.17.-	GH23	2
demux_S_19.scaffolds_1_456	2.7.1.121	-	2.7.1.-	-	1
demux_S_19.scaffolds_1_458	2.7.1.29|2.7.1.28|4.6.1.15|2.7.1.121	-	4.6.1.-+2.7.1.-+2.7.1.-	-	1
demux_S_19.scaffolds_1_462	3.1.1.29	-	3.1.1.-	-	1
demux_S_19.scaffolds_1_465	2.7.6.1	-	2.7.6.-	-	1
demux_S_19.scaffolds_1_466	2.7.1.148	-	2.7.1.-	-	1
demux_S_19.scaffolds_1_468	1.2.1.70	-	1.2.1.-	-	1
demux_S_19.scaffolds_1_470	2.1.1.297	-	2.1.1.-	-	1
demux_S_19.scaffolds_1_473	2.5.1.55	-	2.5.1.-	-	1
demux_S_19.scaffolds_1_478	4.3.2.7	-	4.3.2.-	-	1
demux_S_19.scaffolds_1_482	2.7.13.3	-	2.7.13.-	-	1
demux_S_19.scaffolds_1_485	1.7.5.1	-	1.7.5.-	-	1
demux_S_19.scaffolds_1_486	1.7.5.1	-	1.7.5.-	-	1
demux_S_19.scaffolds_1_488	1.7.5.1	-	1.7.5.-	-	1
demux_S_19.scaffolds_1_489	3.5.1.10	-	3.5.1.-	-	1
demux_S_19.scaffolds_1_493	2.7.7.9	-	2.7.7.-	-	1
demux_S_19.scaffolds_1_495	2.7.1.21	-	2.7.1.-	-	1
demux_S_19.scaffolds_1_496	1.1.1.1|1.2.1.10|1.2.1.3|1.2.1.76	-	1.1.1.-+1.2.1.-	-	1
demux_S_19.scaffolds_1_516	4.2.1.20	-	4.2.1.-	-	1
demux_S_19.scaffolds_1_517	4.2.1.20	-	4.2.1.-	-	1
demux_S_19.scaffolds_1_518	5.3.1.24|4.1.1.48	-	4.1.1.-+5.3.1.-	-	1
demux_S_19.scaffolds_1_519	2.4.2.18|4.1.3.27	-	4.1.3.-+2.4.2.-	-	1
demux_S_19.scaffolds_1_520	4.1.3.27	-	4.1.3.-	-	1
demux_S_19.scaffolds_1_521	3.1.3.97	-	3.1.3.-	-	1
demux_S_19.scaffolds_1_523	5.4.99.22	-	5.4.99.-	-	1
demux_S_19.scaffolds_1_524	2.5.1.17	-	2.5.1.-	-	1
demux_S_19.scaffolds_1_528	5.99.1.2	-	5.99.1.-	-	1
demux_S_19.scaffolds_1_533	4.2.1.3|4.2.1.99|4.2.1.117	-	4.2.1.-	-	1
demux_S_19.scaffolds_1_534	3.5.4.25|4.1.99.12	-	3.5.4.-	-	1
demux_S_19.scaffolds_1_538	4.1.1.23	-	4.1.1.-	-	1
demux_S_19.scaffolds_1_544	3.1.13.1	-	3.1.13.-	-	1
demux_S_19.scaffolds_1_546	1.3.1.9	-	1.3.1.-	-	1
demux_S_19.scaffolds_1_556	3.5.1.94	-	3.5.1.-	-	1
demux_S_19.scaffolds_1_560	2.6.1.19|2.6.1.22|2.6.1.48	-	2.6.1.-	-	1
demux_S_19.scaffolds_1_576	7.6.2.10	-	7.6.2.-	-	1
demux_S_19.scaffolds_1_582	1.11.1.15	-	1.11.1.-	-	1
demux_S_19.scaffolds_1_593	2.1.1.63	-	2.1.1.-	-	1
demux_S_19.scaffolds_1_599	2.7.7.65	-	2.7.7.-	-	1
demux_S_19.scaffolds_1_602	3.6.4.13	-	3.6.4.-	-	1
demux_S_19.scaffolds_1_606	1.2.7.1	-	1.2.7.-	GT2	2
