Gene ID	EC#	HMMER	eCAMI	DIAMOND	#ofTools
demux_S_145.scaffolds_10_108	-	GH97(16-704)	-	GH97	2
demux_S_145.scaffolds_10_114	3.2.1.21	GH3(92-314)	3.2.1.-	GH3	3
demux_S_145.scaffolds_10_115	-	GH158(36-167)	-	GH158+3.2.1.39	2
demux_S_145.scaffolds_10_116	-	GH16_3(42-277)	-	GH16_3	2
demux_S_145.scaffolds_10_121	-	GT2(4-167)	-	GT2	2
demux_S_145.scaffolds_10_14	-	PL13(21-388)	-	PL13	2
demux_S_145.scaffolds_10_29	-	GH88(101-414)	-	GH88	2
demux_S_145.scaffolds_10_30	-	PL12_2(405-535)	-	PL12_2	2
demux_S_145.scaffolds_10_35	-	PL15_2(539-694)	-	PL15_2	2
demux_S_145.scaffolds_10_73	-	CE19(71-386)	-	-	1
demux_S_145.scaffolds_10_74	-	GH106(37-952)	-	GH106	2
demux_S_145.scaffolds_10_80	-	GH28(43-369)	-	GH28	2
demux_S_145.scaffolds_10_82	3.2.1.22	GH36(27-717)	3.2.1.-	GH36	3
demux_S_145.scaffolds_10_84	-	GH110(64-541)	-	GH110	2
demux_S_145.scaffolds_10_87	-	GH92(238-724)	-	GH92	2
demux_S_145.scaffolds_11_25	-	GT2(57-190)	-	GT2	2
demux_S_145.scaffolds_11_4	-	GT11(3-293)	-	-	1
demux_S_145.scaffolds_11_65	-	GH66(311-755)	-	GH0	2
demux_S_145.scaffolds_11_67	-	CBM35(746-856)	-	CBM35	2
demux_S_145.scaffolds_11_77	-	GT4(193-301)	-	-	1
demux_S_145.scaffolds_11_8	-	GT4(197-340)	-	GT4	2
demux_S_145.scaffolds_11_80	-	GT4(223-370)	-	-	1
demux_S_145.scaffolds_11_82	-	GT4(185-330)	-	-	1
demux_S_145.scaffolds_11_83	-	GT2(4-142)	-	GT2	2
demux_S_145.scaffolds_11_99	-	CE1(37-229)	-	-	1
demux_S_145.scaffolds_12_12	-	GH27(136-371)	-	CBM35+GH27	2
demux_S_145.scaffolds_12_46	3.2.1.22	GH36(26-701)	3.2.1.-	GH36	3
demux_S_145.scaffolds_12_47	-	GH92(251-744)	-	GH92	2
demux_S_145.scaffolds_12_48	-	GH95(26-767)	-	GH95	2
demux_S_145.scaffolds_12_74	-	CE1(33-237)	-	-	1
demux_S_145.scaffolds_12_79	-	PL8_3(347-600)	-	PL8_3	2
demux_S_145.scaffolds_13_12	-	GH20(159-483)	-	GH20	2
demux_S_145.scaffolds_13_53	3.2.1.21	GH3(177-399)	3.2.1.-	GH3	3
demux_S_145.scaffolds_13_69	-	PL6_1(39-387)	-	PL6_1	2
demux_S_145.scaffolds_13_7	-	PL10_1(62-349)	-	PL10_1	2
demux_S_145.scaffolds_13_8	-	GH89(55-713)	-	GH89	2
demux_S_145.scaffolds_14_10	-	GH3(103-322)	-	GH3	2
demux_S_145.scaffolds_14_20	-	GH63(203-641)	-	GH63	2
demux_S_145.scaffolds_14_23	3.2.1.23	GH2(56-910)	3.2.1.-	GH2	3
demux_S_145.scaffolds_14_24	-	GH63(169-635)	-	GH63	2
demux_S_145.scaffolds_14_52	-	GH24(43-168)	-	GH24	2
demux_S_145.scaffolds_16_51	-	GT2(53-271)	-	GT2	2
demux_S_145.scaffolds_16_53	-	GT2(41-162)	-	GT2	2
demux_S_145.scaffolds_16_54	-	GT4(196-350)	-	GT4	2
demux_S_145.scaffolds_16_55	-	GT101(53-276)	-	GT101	2
demux_S_145.scaffolds_16_56	-	GT4(207-357)	-	GT4	2
demux_S_145.scaffolds_17_14	3.2.1.23	GH2(51-929)	3.2.1.-	GH2	3
demux_S_145.scaffolds_17_45	-	GT2(8-173)	-	GT2	2
demux_S_145.scaffolds_17_46	-	GT2(48-269)	-	GT2	2
demux_S_145.scaffolds_17_5	-	GT2(4-187)	-	GT2	2
