Gene ID	EC#	HMMER	eCAMI	DIAMOND	#ofTools
demux_S_251.scaffolds_1_147	-	GH2(177-791)+CBM71(1518-1717)+CBM71(1866-2064)	-	CBM71+GH2	2
demux_S_251.scaffolds_1_156	-	CE4(264-375)	-	CE4	2
demux_S_251.scaffolds_1_196	3.2.1.97|3.2.1.18	GH101(632-1339)	3.2.1.-	CBM32+GH101	3
demux_S_251.scaffolds_1_197	3.2.1.169|3.2.1.35	CBM32(151-287)+GH20(503-859)+CBM32(1062-1185)+GH84(1401-1701)	3.2.1.-	CBM32+GH20+GH84	3
demux_S_251.scaffolds_1_201	-	CE1(19-271)	-	-	1
demux_S_251.scaffolds_1_202	-	CE1(61-241)	-	-	1
demux_S_251.scaffolds_1_379	3.2.1.41|3.2.1.142	GH13_14(307-615)	3.2.1.-	CBM41+CBM48+GH13_14	3
demux_S_251.scaffolds_1_380	2.4.1.18	CBM48(22-105)+GH13_9(173-471)	2.4.1.-	CBM48+GH13_9	3
demux_S_251.scaffolds_1_383	2.4.1.21	GT5(2-473)	2.4.1.-	GT5	3
demux_S_251.scaffolds_1_408	3.2.1.85|3.2.1.21	GH1(23-486)	3.2.1.-	GH1	3
demux_S_251.scaffolds_1_424	-	GH25(55-239)	-	GH25	2
demux_S_251.scaffolds_1_440	-	GT2(4-127)	-	GT2	2
demux_S_251.scaffolds_1_443	3.2.1.96	GH73(580-689)	3.2.1.-	GH73	3
demux_S_251.scaffolds_1_68	3.2.1.26	GH32(37-340)	3.2.1.-	GH32	3
demux_S_251.scaffolds_2_152	3.2.1.17	GH25(8-179)	3.2.1.-	GH25	3
demux_S_251.scaffolds_2_157	-	GT2(4-165)	-	GT2	2
demux_S_251.scaffolds_2_16	2.4.1.25	GH77(10-493)	2.4.1.-	GH77	3
demux_S_251.scaffolds_2_17	2.4.1.1	GT35(78-751)	2.4.1.-	GT35	3
demux_S_251.scaffolds_2_289	-	CE7(7-315)	-	CE7	2
demux_S_251.scaffolds_2_290	3.2.1.97|3.2.1.18	CBM40(146-329)+GH33(357-806)	3.2.1.-	CBM40+GH33	3
demux_S_251.scaffolds_2_299	-	GH29(674-980)	-	GH29	2
demux_S_251.scaffolds_2_326	3.2.1.10|3.2.1.70|3.2.1.1|3.2.1.93|3.2.1.20	GH13_31(28-358)	3.2.1.-	GH13_31	3
demux_S_251.scaffolds_2_334	-	GT111(7-225)	-	GT111	2
demux_S_251.scaffolds_2_337	-	GT4(180-332)	-	GT4	2
demux_S_251.scaffolds_2_338	-	GT2(7-141)	-	GT2	2
demux_S_251.scaffolds_2_339	-	GT2(4-173)	-	GT2	2
demux_S_251.scaffolds_2_80	-	GH1(3-458)	-	GH1	2
demux_S_251.scaffolds_2_86	3.1.3.67|3.1.3.48|3.1.3.16	GT51(116-292)	3.1.3.-	GT51	3
demux_S_251.scaffolds_3_103	-	CE1(10-247)	-	-	1
demux_S_251.scaffolds_3_128	-	GH3(129-350)	-	GH3	2
demux_S_251.scaffolds_3_13	-	CE9(6-377)	-	CE9	2
demux_S_251.scaffolds_3_202	2.4.1.129|3.4.16.4	GT51(60-237)	2.4.1.-+3.4.16.-	GT51	3
demux_S_251.scaffolds_3_284	3.2.1.1|3.2.1.98	GH13_5(30-372)	3.2.1.-	GH13_5	3
demux_S_251.scaffolds_3_298	-	GT2(5-167)	-	-	1
demux_S_251.scaffolds_3_69	-	GH95(124-889)	-	GH95	2
demux_S_251.scaffolds_3_82	-	GH85(235-544)	-	CBM32+GH85	2
demux_S_251.scaffolds_3_98	-	CBM41(156-260)+CBM41(265-369)+GH13_12(633-969)	-	CBM41+CBM48+GH13_12	2
demux_S_251.scaffolds_4_134	-	GT4(200-345)	-	GT4	2
demux_S_251.scaffolds_4_135	-	GT4(166-309)	-	GT4	2
demux_S_251.scaffolds_5_2	-	GT4(193-330)	-	GT4	2
demux_S_251.scaffolds_5_26	3.2.1.133|3.2.1.135|3.2.1.54	CBM34(6-126)+GH13_20(176-477)	3.2.1.-	CBM34+GH13_20	3
demux_S_251.scaffolds_5_27	-	GH2(133-888)+CBM71(1466-1662)+CBM71(1814-2015)	-	CBM71+GH2	2
demux_S_251.scaffolds_5_29	2.4.1.227	GT28(188-338)	2.4.1.-	GT28	3
demux_S_251.scaffolds_6_138	2.4.1.129|3.4.16.4	GT51(113-281)	2.4.1.-	GT51	3
demux_S_251.scaffolds_6_51	-	GH92(204-689)	-	GH92	2
demux_S_251.scaffolds_6_52	-	GH125(23-420)	-	GH125	2
demux_S_251.scaffolds_6_53	-	GH38(6-275)	-	GH38	2
demux_S_251.scaffolds_6_55	-	GH20(80-398)	-	GH20	2
demux_S_251.scaffolds_6_68	-	GT2(8-157)	-	GT2	2
demux_S_251.scaffolds_7_35	-	GH20(154-502)+GH20(599-937)	-	GH20	2
demux_S_251.scaffolds_7_37	3.2.1.23	GH35(10-326)	3.2.1.-	GH35	3
demux_S_251.scaffolds_8_1	-	GT1(93-417)	-	GT1	2
demux_S_251.scaffolds_1_8	2.7.1.6|2.7.1.44	-	2.7.1.-	-	1
demux_S_251.scaffolds_1_9	2.7.7.12	-	2.7.7.-	-	1
demux_S_251.scaffolds_1_17	7.6.2.2	-	7.6.2.-	-	1
demux_S_251.scaffolds_1_19	2.6.1.87|2.6.1.102|2.6.1.100|2.6.1.101|2.6.1.98|2.6.1.106	-	2.6.1.-	-	1
demux_S_251.scaffolds_1_20	4.2.1.20	-	4.2.1.-	-	1
demux_S_251.scaffolds_1_21	4.1.3.27	-	4.1.3.-	-	1
demux_S_251.scaffolds_1_22	2.6.1.85|4.1.3.27	-	2.6.1.-	-	1
demux_S_251.scaffolds_1_23	2.4.2.18	-	2.4.2.-	-	1
demux_S_251.scaffolds_1_24	4.1.1.48	-	4.1.1.-	-	1
demux_S_251.scaffolds_1_25	5.3.1.24	-	5.3.1.-	-	1
demux_S_251.scaffolds_1_26	4.2.1.20	-	4.2.1.-	-	1
demux_S_251.scaffolds_1_27	4.2.1.20	-	4.2.1.-	-	1
