k141_324600_2/1-324,k141_324600_2,325,629.6,2.7e-188,2.4,324,629.5,9.6e-192,3e-188,2.4,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_7117_2/1-324,k141_7117_2,325,618.4,7e-185,4.0,324,618.2,2.5e-188,7.8e-185,4.0,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_363171_4/1-324,k141_363171_4,325,616.7,2.3e-184,0.3,324,616.6,8.1e-188,2.5e-184,0.3,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_351507_16/1-324,k141_351507_16,325,616.3,3e-184,0.5,324,616.2,1.1e-187,3.3e-184,0.5,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_328655_16/1-324,k141_328655_16,325,615.1,7.1e-184,0.1,324,614.9,2.5e-187,7.9e-184,0.1,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_190195_4/1-324,k141_190195_4,325,614.1,1.4e-183,0.9,324,614.0,5e-187,1.6e-183,0.9,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_155289_119/1-324,k141_155289_119,326,613.3,2.5e-183,6.3,324,613.1,9e-187,2.8e-183,6.3,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_78600_8/1-324,k141_78600_8,325,613.3,2.6e-183,2.6,324,613.1,9.2e-187,2.9e-183,2.6,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_372082_2/1-324,k141_372082_2,325,612.9,3.3e-183,0.7,324,612.7,1.2e-186,3.7e-183,0.7,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_195071_2/1-324,k141_195071_2,325,612.1,5.6e-183,1.4,324,612.0,2e-186,6.3e-183,1.4,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_182561_4/1-324,k141_182561_4,326,611.2,1.1e-182,2.4,324,611.0,4e-186,1.3e-182,2.4,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_165642_1/1-324,k141_165642_1,325,611.0,1.3e-182,0.8,324,610.8,4.6e-186,1.4e-182,0.8,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_194122_19/1-324,k141_194122_19,325,608.7,6.4e-182,1.5,324,608.5,2.3e-185,7.1e-182,1.5,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_247088_33/1-324,k141_247088_33,325,607.4,1.5e-181,0.3,324,607.3,5.4e-185,1.7e-181,0.3,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_29628_1/10-333,k141_29628_1,334,606.3,3.4e-181,0.3,324,606.1,1.2e-184,3.8e-181,0.3,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_154603_24/1-325,k141_154603_24,326,605.5,5.8e-181,1.1,325,605.4,2.1e-184,6.4e-181,1.1,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_294672_25/1-324,k141_294672_25,325,604.1,1.5e-180,0.5,324,604.0,5.5e-184,1.7e-180,0.5,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
k141_218618_187/1-324,k141_218618_187,325,604.1,1.6e-180,1.2,324,603.9,5.8e-184,1.8e-180,1.2,workflow/out/bsh_hmmer/coassemblies/Capsule_9_contigs.domtblout
